sample;sample2;treat;honeybees;repl;site;pollen_remain;pollen_removed
HAAc1;HAAc1;ctrl;absent;a;Haasianlehto;28,35965978;72
HAAc2;HAAc2;ctrl;absent;a;Haasianlehto;9,906450025;90
HAAc3;HAAc3;ctrl;absent;b;Haasianlehto;17,03332607;83
HAAc4;HAAc4;ctrl;absent;b;Haasianlehto;18,86864531;81
HAAc5;HAAc5;ctrl;absent;c;Haasianlehto;8,609413203;91
HAAc6;HAAc6;ctrl;absent;c;Haasianlehto;30,18691589;70
HAAc7;HAAc7;ctrl;absent;d;Haasianlehto;28,76458867;71
HAAc8;HAAc8;ctrl;absent;d;Haasianlehto;19,14623838;81
HAAps1;HAAps1;ps;absent;a;Haasianlehto;;
HAAps2;HAAps2;ps;absent;a;Haasianlehto;;
HAAps3;HAAps3;ps;absent;b;Haasianlehto;;
HAAps4;HAAps4;ps;absent;b;Haasianlehto;;
HAAps5;HAAps5;ps;absent;c;Haasianlehto;;
HAAps6;HAAps6;ps;absent;c;Haasianlehto;;
HAAps7;HAAps7;ps;absent;d;Haasianlehto;;
HAAps8;HAAps8;ps;absent;d;Haasianlehto;;
HPc1;HPc1;ctrl;absent;a;Haapalehto;112,9240711;0
HPc2;HPc2;ctrl;absent;a;Haapalehto;75,30136619;25
HPc3;HPc3;ctrl;absent;b;Haapalehto;105,1645969;0
HPc4;HPc4;ctrl;absent;b;Haapalehto;158,8856868;0
HPc5;HPc5;ctrl;absent;c;Haapalehto;109,4802453;0
HPc6;HPc6;ctrl;absent;c;Haapalehto;54,9796748;45
HPc7;HPc7;ctrl;absent;d;Haapalehto;112,9935721;0
HPc8;HPc8;ctrl;absent;d;Haapalehto;106,4714946;0
HPps1;HPps1;ps;absent;a;Haapalehto;;
HPps2;HPps2;ps;absent;a;Haapalehto;;
HPps3;HPps3;ps;absent;b;Haapalehto;;
HPps4;HPps4;ps;absent;b;Haapalehto;;
HPps5;HPps5;ps;absent;c;Haapalehto;;
HPps6;HPps6;ps;absent;c;Haapalehto;;
HPps7;HPps7;ps;absent;d;Haapalehto;;
HPps8;HPps8;ps;absent;d;Haapalehto;;
JUHc1;JUHc1;ctrl;absent;a;Juhanala;25,59690256;74
JUHc2;JUHc2;ctrl;absent;a;Juhanala;74,26341463;26
JUHc3;JUHc3;ctrl;absent;b;Juhanala;74,16914347;26
JUHc5;JUHc5;ctrl;absent;c;Juhanala;45,56410256;54
JUHc6;JUHc6;ctrl;absent;c;Juhanala;138,5932561;0
JUHc7;JUHc7;ctrl;absent;d;Juhanala;61,92579505;38
JUHc8;JUHc8;ctrl;absent;d;Juhanala;47,36289688;53
JUHps1;JUHps1;ps;absent;a;Juhanala;28,67770132;71
JUHps2;JUHps2;ps;absent;a;Juhanala;;
JUHps3;JUHps3;ps;absent;b;Juhanala;;
JUHps4;JUHps4;ps;absent;b;Juhanala;;
JUHps5;JUHps5;ps;absent;c;Juhanala;;
JUHps6;JUHps6;ps;absent;c;Juhanala;;
JUHps7;JUHps7;ps;absent;d;Juhanala;;
JUHps8;JUHps8;ps;absent;d;Juhanala;;
KEKc1;KEKc1;ctrl;present;a;Kekkila;72,78273111;27
