OTU	Size	Taxonomy
Otu0001	98128	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Cladosporiaceae(100);g__Cladosporium(100);s__Cladosporium_pseudocladosporioides(89);Cladosporium_pseudocladosporioides(89);
Otu0002	40322	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Aureobasidiaceae(100);g__Aureobasidium(100);s__Aureobasidium_proteae(99);Aureobasidium_proteae(99);
Otu0003	24341	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothioraceae(91);g__Dothiora(89);g__Dothiora_unclassified(89);g__Dothiora_unclassified(89);
Otu0004	19001	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);o__Dothideales_unclassified(96);o__Dothideales_unclassified(96);o__Dothideales_unclassified(96);o__Dothideales_unclassified(96);
Otu0005	10837	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);s__Filobasidium_wieringae(100);Filobasidium_wieringae(100);
Otu0006	8542	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__Taphrinaceae(100);g__Taphrina(100);s__Taphrina_carpini(100);Taphrina_carpini(100);
Otu0007	5812	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Lecanorales(100);f__Parmeliaceae(100);g__Hypogymnia(100);s__Hypogymnia_physodes(100);Hypogymnia_physodes(100);
Otu0008	4453	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothioraceae(100);g__Pringsheimia(100);s__Pringsheimia_chamaecyparidis(100);Pringsheimia_chamaecyparidis(100);
Otu0009	4221	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Genolevuria(100);s__Genolevuria_sp(100);Genolevuria(100);
Otu0010	3264	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Polyporaceae(100);g__Fomes(100);s__Fomes_fomentarius(100);Fomes_fomentarius(100);
Otu0011	2885	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Trichomeriaceae(100);g__Knufia(100);s__Knufia_endospora(91);Knufia_endospora(91);
Otu0012	2408	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);
